cast_member_list,vote_average,movie_count
Ava Acres,4.7,1
Ava Gardner,6.6,2
Avery Brooks,6.666666666666667,3
Avery Schreiber,3.3,1
Avi Dichter,6.5,1
Avraham Shalom,6.5,1
Axel Kiener,6.8,1
Axel Kuschevatzky,6.0,1
Ayanat Ksenbai,4.3,1
Ayano Fukuda,6.5,1
Ayelet Zurer,6.066666666666666,3
Ayesha Omar,8.0,1
Aymen Hamdouchi,4.5,1
Ayush Tandon,7.2,1
Aziz Ansari,6.0,2
Aziz Muradillayev,0.0,1
Azura Skye,4.7,1
BD Wong,6.2,2
Ba Sen,6.5,1
Babou Ceesay,6.4,1
Baby Bajrangi,4.2,1
Baby Bash,5.9,1
Bae Doona,6.7,1
Bahar Soomekh,6.1,1
Bahare Seddiqi,7.8,1
Bai Bing,6.5,1
Bai Ling,6.35,4
Bailee Madison,6.15,4
Balthazar Getty,4.699999999999999,2
Bam Margera,6.3,3
Barack Obama,7.7,1
Barbara Adams,6.3,1
Barbara Bach,6.5,2
Barbara Bingham,4.8,1
Barbara Boxer,7.0,1
Barbara Brenner,6.8,1
Barbara Carrera,5.65,2
Barbara Ehrenreich,6.8,1
Barbara Flynn,6.3,1
Barbara Harris,6.7,1
Barbara Hershey,6.3,7
Barbara Howard,5.9,1
Barbara Jefford,6.85,2
Barbara Mamabolo,3.7,1
Barbara Nedeljakova,5.7,1
Barbie Hsu,6.7,1
Barbra Streisand,5.916666666666667,6
Barlow Jacobs,6.9,1
Barney Clark,6.7,1
Baron Hill,7.0,1
Barret Oliver,7.0,1
Barry Bostwick,4.7,3
Barry Corbin,4.633333333333334,3
Barry Foster,7.1,1
Barry McEvoy,6.0,1
Barry Miller,5.9,2
Barry Nelson,8.1,1
Barry Newman,5.9,2
Barry Pepper,6.05,10
Barry Primus,6.1,1
Barry Watson,4.6,2
Bart Robinson Cook,5.6,1
Bart Voitila,3.2,1
Bashar Rahal,3.3,1
Basil Rathbone,7.0,1
Bastian Pastewka,5.5,1
Beatie Edney,6.8,1
Beatrice Straight,7.0,1
Beatriz Batarda,7.1,1
Beau Brasso,5.8,1
Beau Bridges,5.966666666666666,3
Beau Knapp,5.8,1
Beau Sia,6.7,1
Beau Starr,5.2,1
Bebe Daniels,6.1,1
Bebe Neuwirth,5.25,2
Becca Gardner,6.7,1
Bee Vang,7.8,1
Bel Powley,6.8,1
Belinda Balaski,6.4,1
Belinda Becker,4.8,1
Bella Heathcote,5.433333333333334,3
Bella Thorne,6.3999999999999995,3
Belladonna,7.2,1
Belén Rueda,7.15,2
Ben Affleck,6.3,24
Ben Barnes,5.933333333333334,3
Ben Browder,6.9,1
Ben Burtt,7.8,1
Ben Chaplin,5.76,5
Ben Coler,0.0,1
Ben Cross,6.35,2
Ben Daniels,5.0,1
Ben Davies,6.8,1
Ben Diskin,6.5,1
Ben Drew,5.7,1
Ben Falcone,6.6,1
Ben Feldman,5.8,2
Ben Foster,6.381818181818182,11
Ben Garant,5.6,1
Ben Gazzara,6.720000000000001,5
Ben Johnson,6.9,2
Ben Kingsley,6.4714285714285715,21
Ben Lyon,6.1,1
Ben Mendelsohn,6.0,5
Ben Miller,5.95,2
Ben Piazza,6.9,1
Ben Reed,7.4,1
Ben Rosenfield,5.5,1
Ben Rovner,4.2,1
Ben Schnetzer,7.4,1
Ben Schwartz,6.800000000000001,2
Ben Shenkman,6.8,2
Ben Stiller,6.05,28
Ben Vereen,7.3,1
Ben Weber,6.3,1
Ben Whishaw,6.8,5
Ben Youcef,0.0,1
Benedict Cumberbatch,6.916666666666667,6
Benedict Wong,6.8,1
Benicio del Toro,6.56923076923077,13
Benito Martinez,4.5,1
Benjamin Bratt,5.984615384615385,13
Benjamin Dickinson,5.4,1
Benjamin Hollingsworth,6.55,2
Benjamin Jay Davis,6.9,1
Benjamin Kanes,6.0,1
Benjamin Walker,6.0,2
Benjamin Weir,6.2,1
Benno Fürmann,6.033333333333334,3
Benny Urquidez,5.9,1
Benoît Magimel,6.4,2
Benoît Poelvoorde,6.6,1
Bentley Mitchum,5.6,1
Bergüzar Korel,4.3,1
Bernadette Peters,3.8,1
Bernard Hill,5.65,2
Bernard Le Coq,5.7,1
Bernard Lee,6.9,1
Bernard Noël,7.1,1
Bernie Casey,4.9,1
